
2024/06/25 (19:57:52) | ===> btop++ v.1.3.0
2024/06/25 (19:57:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/05 (05:10:42) | ===> btop++ v.1.3.0
2024/07/05 (05:10:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/11 (08:25:02) | ===> btop++ v.1.3.0
2024/09/11 (08:25:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/12 (11:03:14) | ===> btop++ v.1.3.0
2024/09/12 (11:03:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/30 (04:42:37) | ===> btop++ v.1.3.0
2024/10/30 (04:42:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/30 (04:42:37) | WARNING: NVML: Failed to get GPU power usage: No data

2024/11/07 (06:37:20) | ===> btop++ v.1.3.0
2024/11/07 (06:37:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/07 (06:37:20) | WARNING: NVML: Failed to get GPU power usage: No data

2024/11/20 (20:00:26) | ===> btop++ v.1.3.0
2024/11/20 (20:00:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/20 (20:00:26) | WARNING: NVML: Failed to get GPU power usage: No data

2024/12/02 (19:16:20) | ===> btop++ v.1.3.0
2024/12/02 (19:16:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/02 (19:16:20) | WARNING: NVML: Failed to get GPU power usage: No data

2024/12/10 (05:11:09) | ===> btop++ v.1.3.0
2024/12/10 (05:11:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/10 (05:11:21) | ===> btop++ v.1.3.0
2024/12/10 (05:11:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/10 (19:14:38) | ===> btop++ v.1.3.0
2024/12/10 (19:14:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/10 (19:14:38) | WARNING: NVML: Failed to get GPU power usage: No data

2024/12/16 (09:40:08) | ===> btop++ v.1.3.0
2024/12/16 (09:40:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/19 (05:14:02) | ===> btop++ v.1.3.0
2024/12/19 (05:14:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/19 (05:14:02) | WARNING: NVML: Failed to get GPU power usage: No data

2024/12/19 (05:14:10) | ===> btop++ v.1.3.0
2024/12/19 (05:14:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/21 (04:43:14) | ===> btop++ v.1.3.0
2024/12/21 (04:43:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/21 (04:43:14) | WARNING: NVML: Failed to get GPU power usage: No data

2024/12/26 (13:12:34) | ===> btop++ v.1.3.0
2024/12/26 (13:12:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/26 (13:12:34) | WARNING: NVML: Failed to get GPU power usage: No data

2024/12/26 (13:12:57) | ===> btop++ v.1.3.0
2024/12/26 (13:12:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/26 (13:12:57) | WARNING: NVML: Failed to get GPU power usage: No data

2024/12/26 (13:13:40) | ===> btop++ v.1.3.0
2024/12/26 (13:13:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/26 (13:13:40) | WARNING: NVML: Failed to get GPU power usage: No data

2025/01/09 (23:48:36) | ===> btop++ v.1.3.0
2025/01/09 (23:48:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/09 (23:48:36) | WARNING: NVML: Failed to get GPU power usage: No data

2025/01/12 (10:06:12) | ===> btop++ v.1.3.0
2025/01/12 (10:06:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/12 (10:06:12) | WARNING: NVML: Failed to get GPU power usage: No data
